geo_id,population,week_start,week_end,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
Auburn-North,44869.984,12/29/2019,1/4/2020,0,0,0,0,4,0,2.166666667
Auburn-North,44869.984,1/5/2020,1/11/2020,0,0,0,0,0,0,3.165566667
Auburn-North,44869.984,1/12/2020,1/18/2020,0,0,0,0,0,0,4.166666667
Auburn-North,44869.984,1/19/2020,1/25/2020,0,0,0,0,0,0,1.166666667
Auburn-North,44869.984,1/26/2020,2/1/2020,0,0,0,0,0,0,2.909090909
Auburn-North,44869.984,2/2/2020,2/8/2020,0,0,0,0,0,0,2.877697842
Auburn-North,44869.984,2/9/2020,2/15/2020,0,0,0,0,1,0,4.166666667
Auburn-North,44869.984,2/16/2020,2/22/2020,0,0,0,0,0,0,4.947368421
Auburn-North,44869.984,2/23/2020,2/29/2020,0,0,0,0,0,0,4.463040446
Auburn-North,44869.984,3/1/2020,3/7/2020,1,2,0,0,24,1,7.021276596
Auburn-North,44869.984,3/8/2020,3/14/2020,3,2,0,0,103,3,2.912621359
Auburn-North,44869.984,3/15/2020,3/21/2020,14,4,0,0,168,14,8.333333333
Auburn-North,44869.984,3/22/2020,3/28/2020,36,4,1,0,245,36,14.69387755
Auburn-North,44869.984,3/29/2020,4/4/2020,49,9,0,0,262,49,18.70229008
Auburn-North,44869.984,4/5/2020,4/11/2020,31,8,1,0,213,31,14.55399061
Auburn-North,44869.984,4/12/2020,4/18/2020,27,8,4,1,196,27,13.7755102
Auburn-North,44869.984,4/19/2020,4/25/2020,25,8,1,0,279,25,8.960573477
Auburn-North,44869.984,4/26/2020,5/2/2020,24,0,1,0,291,24,8.24742268
Auburn-North,44869.984,5/3/2020,5/9/2020,23,3,0,0,266,23,8.646616541
Auburn-North,44869.984,5/10/2020,5/16/2020,19,5,0,0,282,19,6.737588652
Auburn-North,44869.984,5/17/2020,5/23/2020,21,1,1,0,297,21,7.070707071
Auburn-North,44869.984,5/24/2020,5/30/2020,4,3,0,0,245,4,1.632653061
Auburn-North,44869.984,5/31/2020,6/6/2020,8,2,0,1,275,8,2.909090909
Auburn-North,44869.984,6/7/2020,6/13/2020,18,0,0,0,428,18,4.205607477
Auburn-North,44869.984,6/14/2020,6/20/2020,12,2,0,1,417,12,2.877697842
Auburn-North,44869.984,6/21/2020,6/27/2020,25,2,0,0,677,25,3.692762186
Auburn-North,44869.984,6/28/2020,7/4/2020,33,1,1,0,470,33,7.021276596
Auburn-North,44869.984,7/5/2020,7/11/2020,44,2,1,0,544,44,8.088235294
Auburn-North,44869.984,7/12/2020,7/18/2020,50,1,0,0,664,49,7.379518072
Auburn-North,44869.984,7/19/2020,7/25/2020,48,5,1,0,665,47,7.067669173
Auburn-North,44869.984,7/26/2020,8/1/2020,48,6,1,1,654,48,7.339449541
Auburn-North,44869.984,8/2/2020,8/8/2020,38,3,1,0,833,35,4.201680672
Auburn-North,44869.984,8/9/2020,8/15/2020,47,2,1,0,950,47,4.947368421
Auburn-North,44869.984,8/16/2020,8/22/2020,38,3,0,0,867,38,4.382929642
Auburn-North,44869.984,8/23/2020,8/29/2020,32,2,0,1,717,32,4.463040446
Auburn-North,44869.984,8/30/2020,9/5/2020,28,2,0,1,715,28,3.916083916
Auburn-North,44869.984,9/6/2020,9/12/2020,27,3,0,1,541,27,4.990757856
Auburn-North,44869.984,9/13/2020,9/19/2020,15,2,0,0,571,15,2.626970228
Auburn-North,44869.984,9/20/2020,9/26/2020,30,1,0,0,676,30,4.437869822
Auburn-North,44869.984,9/27/2020,10/3/2020,43,1,1,0,786,43,5.470737913
Auburn-North,44869.984,10/4/2020,10/10/2020,66,6,1,0,1036,63,6.081081081
Auburn-North,44869.984,10/11/2020,10/17/2020,38,1,2,1,895,38,4.245810056
Auburn-North,44869.984,10/18/2020,10/24/2020,55,1,2,0,998,55,5.511022044
Auburn-North,44869.984,10/25/2020,10/31/2020,43,3,1,0,1154,43,3.726169844
Auburn-North,44869.984,11/1/2020,11/7/2020,114,2,0,2,1235,114,9.230769231
Auburn-North,44869.984,11/8/2020,11/14/2020,151,12,1,0,1505,151,10.03322259
Auburn-North,44869.984,11/15/2020,11/21/2020,196,15,0,0,1883,196,10.40892193
Auburn-North,44869.984,11/22/2020,11/28/2020,165,4,0,1,1378,165,11.97387518
Auburn-North,44869.984,11/29/2020,12/5/2020,161,10,2,1,1484,160,10.78167116
Auburn-North,44869.984,12/6/2020,12/12/2020,224,10,3,3,1566,224,14.30395913
Auburn-North,44869.984,12/13/2020,12/19/2020,161,12,7,2,1746,161,9.221076747
Auburn-North,44869.984,12/20/2020,12/26/2020,109,9,6,3,1204,106,8.803986711
Auburn-North,44869.984,12/27/2020,1/2/2021,144,5,4,2,1433,135,9.420795534
Auburn-North,44869.984,1/3/2021,1/9/2021,136,11,2,2,1305,131,10.03831418
Auburn-North,44869.984,1/10/2021,1/16/2021,110,8,2,2,1288,109,8.462732919
Auburn-North,44869.984,1/17/2021,1/23/2021,92,4,0,1,1265,86,6.798418972
Auburn-North,44869.984,1/24/2021,1/30/2021,50,6,3,1,1127,48,4.259094942
Auburn-North,44869.984,1/31/2021,2/6/2021,62,7,1,1,1017,54,5.309734513
Auburn-North,44869.984,2/7/2021,2/13/2021,34,3,2,0,923,31,3.358613218
Auburn-North,44869.984,2/14/2021,2/20/2021,35,1,1,0,916,27,2.947598253
Auburn-North,44869.984,2/21/2021,2/27/2021,44,5,0,0,892,41,4.596412556
Auburn-North,44869.984,2/28/2021,3/6/2021,56,3,3,0,934,49,5.246252677
Auburn-North,44869.984,3/7/2021,3/13/2021,63,2,0,1,888,56,6.306306306
Auburn-North,44869.984,3/14/2021,3/20/2021,62,6,0,0,957,53,5.538140021
Auburn-North,44869.984,3/21/2021,3/27/2021,99,5,2,1,1092,86,7.875457875
Auburn-North,44869.984,3/28/2021,4/3/2021,70,5,0,3,1019,61,5.98626104
Auburn-North,44869.984,4/4/2021,4/10/2021,67,3,1,1,941,48,5.100956429
Auburn-North,44869.984,4/11/2021,4/17/2021,108,8,0,0,1185,93,7.848101266
Auburn-North,44869.984,4/18/2021,4/24/2021,100,8,1,1,1085,88,8.110599078
Auburn-North,44869.984,4/25/2021,5/1/2021,122,8,0,3,1127,116,10.29281278
Auburn-North,44869.984,5/2/2021,5/8/2021,116,6,0,0,1045,106,10.14354067
Auburn-North,44869.984,5/9/2021,5/15/2021,71,8,0,1,882,66,7.482993197
Auburn-North,44869.984,5/16/2021,5/22/2021,38,2,1,0,683,36,5.270863836
Auburn-North,44869.984,5/23/2021,5/29/2021,32,4,0,0,721,29,4.022191401
Auburn-North,44869.984,5/30/2021,6/5/2021,32,4,0,0,614,27,4.397394137
Auburn-North,44869.984,6/6/2021,6/12/2021,20,2,1,0,652,19,2.914110429
Auburn-North,44869.984,6/13/2021,6/19/2021,11,1,1,0,686,8,1.166180758
Auburn-North,44869.984,6/20/2021,6/26/2021,21,0,0,0,687,11,1.601164483
Auburn-North,44869.984,6/27/2021,7/3/2021,17,0,0,0,579,11,1.899827288
Auburn-North,44869.984,7/4/2021,7/10/2021,24,3,0,1,598,20,3.344481605
Auburn-North,44869.984,7/11/2021,7/17/2021,40,5,0,0,435,32,7.356321839
Auburn-North,44869.984,7/18/2021,7/24/2021,45,1,0,0,876,42,4.794520548
Auburn-North,44869.984,7/25/2021,7/31/2021,85,7,0,0,981,77,7.849133537
Auburn-North,44869.984,8/1/2021,8/7/2021,104,2,0,3,1148,92,8.013937282
Auburn-North,44869.984,8/8/2021,8/14/2021,140,6,2,1,1344,110,8.18452381
Auburn-North,44869.984,8/15/2021,8/21/2021,140,7,2,1,1418,123,8.674188999
Auburn-North,44869.984,8/22/2021,8/28/2021,129,10,1,1,1530,115,7.516339869
Auburn-North,44869.984,8/29/2021,9/4/2021,176,6,1,2,1695,166,9.793510324
Auburn-North,44869.984,9/5/2021,9/11/2021,160,8,0,2,1595,147,9.21630094
Auburn-North,44869.984,9/12/2021,9/18/2021,136,9,1,2,1737,123,7.081174439
Auburn-North,44869.984,9/19/2021,9/25/2021,134,2,6,1,1945,131,6.735218509
Auburn-North,44869.984,9/26/2021,10/2/2021,90,7,1,3,1947,87,4.468412943
Auburn-North,44869.984,10/3/2021,10/9/2021,108,4,1,1,1890,101,5.343915344
Auburn-North,44869.984,10/10/2021,10/16/2021,82,3,2,1,1520,77,5.065789474
Auburn-North,44869.984,10/17/2021,10/23/2021,146,6,0,2,1637,132,8.063530849
Auburn-North,44869.984,10/24/2021,10/30/2021,95,5,1,1,1603,89,5.552089832
Auburn-North,44869.984,10/31/2021,11/6/2021,92,2,1,1,1448,87,6.008287293
Auburn-North,44869.984,11/7/2021,11/13/2021,62,6,3,0,1411,52,3.685329554
Auburn-North,44869.984,11/14/2021,11/20/2021,67,2,2,2,1305,61,4.674329502
Auburn-North,44869.984,11/21/2021,11/27/2021,39,3,0,1,1128,35,3.102836879
Auburn-North,44869.984,11/28/2021,12/4/2021,72,3,1,0,1486,63,4.239569314
Auburn-North,44869.984,12/5/2021,12/11/2021,77,2,0,1,1458,72,4.938271605
Auburn-North,44869.984,12/12/2021,12/18/2021,163,0,0,1,1868,156,8.35117773
Auburn-North,44869.984,12/19/2021,12/25/2021,379,5,0,4,2251,367,16.30386495
Auburn-North,44869.984,12/26/2021,1/1/2022,613,7,1,3,1663,580,34.8767288
Auburn-North,44869.984,1/2/2022,1/8/2022,1350,12,2,9,3023,1254,41.48197155
Auburn-North,44869.984,1/9/2022,1/15/2022,1177,22,5,9,3027,1101,36.37264618
Auburn-North,44869.984,1/16/2022,1/22/2022,756,18,2,12,2265,690,30.46357616
Auburn-North,44869.984,1/23/2022,1/29/2022,437,14,2,6,1608,394,24.50248756
Auburn-North,44869.984,1/30/2022,2/5/2022,232,10,2,6,1246,215,17.25521669
Auburn-North,44869.984,2/6/2022,2/12/2022,133,5,2,3,922,118,12.79826464
Auburn-North,44869.984,2/13/2022,2/19/2022,70,2,2,2,722,65,9.002770083
